conta_contabil;uniorcam_inicial;uniorcam_final;conferencia;regra
1.2.3;0;9999;externo;testImobilizadoTestadoManualmente
1.1.3.1.1.02;0;9999;externo;testSuprimentosDeFundosIndividualmenteTestadosManualmente
8.9.1.2.1;0;9999;externo;testSuprimentosDeFundosIndividualmenteTestadosManualmente
1.1.1;0;9999;externo;testDisponibilidadesTestadasManualmente
1.1.4;0;9999;externo;testDisponibilidadesTestadasManualmente
1.1.3.2.3.06.03;0;9999;externo;testSalarioFamiliaACompensarTestadoManualmente
1.;0;9999;natureza;testFechamentoDosLancamentosNasContasPatrimoniais
2.;0;9999;natureza;testFechamentoDosLancamentosNasContasPatrimoniais
3.;0;9999;natureza;testFechamentoDosLancamentosNasContasPatrimoniais
4.;0;9999;natureza;testFechamentoDosLancamentosNasContasPatrimoniais
5.;0;9999;natureza;testFechamentoDosLancamentosNasContasOrcamentarias
6.;0;9999;natureza;testFechamentoDosLancamentosNasContasOrcamentarias
7.;0;9999;natureza;testFechamentoDosLancamentosNasContasDeControle
8.;0;9999;natureza;testFechamentoDosLancamentosNasContasDeControle
5.2.2.1;0;9999;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeDotacaoOrcamentaria
6.2.2.1;0;9999;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeDotacaoOrcamentaria
5.2.2.9;0;9999;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeOutrosControlesDaDespesa
6.2.2.9;0;9999;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeOutrosControlesDaDespesa
5.3.1;0;9999;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeRestosAPagarNaoProcessados
6.3.1;0;9999;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeRestosAPagarNaoProcessados
5.3.2;0;9999;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeRestosAPagarProcessados
6.3.2;0;9999;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeRestosAPagarProcessados
7.1.1.3.1.03;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeContratosDeAlugueis
8.1.1.3.1.03;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeContratosDeAlugueis
7.1.1.9.1.04;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeBensDoImobilizadoCedidos
8.1.1.9.1.04;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeBensDoImobilizadoCedidos
7.1.1.9.1.01;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDePlanoDeAmortizacaoDoDeficitAtuarial
8.1.1.9.1.01;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDePlanoDeAmortizacaoDoDeficitAtuarial
7.1.1.9.1.05;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeAtivosContingentes
8.1.1.9.1.05;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeAtivosContingentes
7.1.2.2.1.01;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeObrigacoesConveniadas
8.1.2.2.1.01;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeObrigacoesConveniadas
7.1.2.3.1.02;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeObrigacoesDeContratosDeServicos
8.1.2.3.1.02;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeObrigacoesDeContratosDeServicos
7.1.2.3.1.01;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeObrigacoesDeContratosDeSeguros
8.1.2.3.1.01;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeObrigacoesDeContratosDeSeguros
7.1.2.3.1.04;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeObrigacoesDeContratosDeFornecimentoDeBens
8.1.2.3.1.04;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeObrigacoesDeContratosDeFornecimentoDeBens
7.1.2.3.1.99;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeOutrasObrigacoesContratuais
8.1.2.3.1.99;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeOutrasObrigacoesContratuais
7.1.2.9.1.01;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDePrecatoriosIncluidosNoOrcamento
8.1.2.9.1.01;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDePrecatoriosIncluidosNoOrcamento
7.1.2.9.1.02;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDePrecatoriosNaoIncluidosNoOrcamento
8.1.2.9.1.02;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDePrecatoriosNaoIncluidosNoOrcamento
7.2.1.1;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeDisponibilidades
8.2.1.1;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeDisponibilidades
7.4.1.1.1;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDePassivosContingentesDeDemandasJudiciais
8.4.1.1.1;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDePassivosContingentesDeDemandasJudiciais
7.4.1.1.2;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDePassivosContingentesDeDividasEmReconhecimento
8.4.1.1.2;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDePassivosContingentesDeDividasEmReconhecimento
7.4.1.1.9;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeOutrosPassivosContingentes
8.4.1.1.9;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeOutrosPassivosContingentes
7.5.3.1;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeValoresTransferidosPorContratoDeRateio
8.5.3.1;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeValoresTransferidosPorContratoDeRateio
7.5.3.2;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeDespesasExecutadasEmConsorcio
8.5.3.2;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeDespesasExecutadasEmConsorcio
7.9.1.1.3;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeOutrasResponsabilidadesDeTerceiros
8.9.1.1.3;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeOutrasResponsabilidadesDeTerceiros
7.9.1.2.1;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeSuprimentoDeFundos
8.9.1.2.1;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeSuprimentoDeFundos
7.9.2.6;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDePagamentosSemRespaldoOrcamentario
8.9.2.6;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDePagamentosSemRespaldoOrcamentario
7.9.2.9;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeResponsaveisPorDanosAoPatrimonio
8.9.2.9;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeResponsaveisPorDanosAoPatrimonio
7.9.9.9.1;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeDespesaSemEmpenhoPrevio
8.9.9.9.1;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeDespesaSemEmpenhoPrevio
7.9.9.9.2;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeSuperavitFinanceiroDisponivel
8.9.9.9.2;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeSuperavitFinanceiroDisponivel
7.9.9.9.4;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeLimiteDeSuplementacao
8.9.9.9.4;0;9999;nivel;testFechamentoDosNiveisDasContasDeControleDeLimiteDeSuplementacao
1.1.3.1.1.01.01;0;9999;saldo;testSaldoFinalDeAdiantamentosDeSalarioIgualAZero
1.1.3.1.1.01.04;0;9999;saldo;testSaldoFinalDeAdiantamentosDeFeriasIgualAZero
1.1.3.1.1.01.99;0;9999;saldo;testSaldoFinalDeOutrosAdiantamentosIgualAZero
1.1.3.1.1.02;0;9999;saldo;testSaldoFinalDeSuprimentosDeFundosDoAtivoIgualAosControlesAComprovarEAAprovar
8.9.1.2.1.01;0;9999;saldo;testSaldoFinalDeSuprimentosDeFundosDoAtivoIgualAosControlesAComprovarEAAprovar
8.9.1.2.1.02;0;9999;saldo;testSaldoFinalDeSuprimentosDeFundosDoAtivoIgualAosControlesAComprovarEAAprovar
1.1.9.8.1.01;0;9999;saldo;testSaldoFinalDeParceriasAApropriarDoAtivoIgualAosControlesAComprovarEAAprovar
8.1.22.1.01.02;0;9999;saldo;testSaldoFinalDeParceriasAApropriarDoAtivoIgualAosControlesAComprovarEAAprovar
8.1.2.2.1.01.03;0;9999;saldo;testSaldoFinalDeParceriasAApropriarDoAtivoIgualAosControlesAComprovarEAAprovar
2.1.1.1.1.01.01.02;0;9999;saldo;testSaldoFinalDeSalariosAPagarIgualAoSaldoLiquidadoAPagar
2.1.1.1.1.01.03.02;0;9999;saldo;testSaldoFinalDeFeriasAPagarIgualAoSaldoLiquidadoAPagar
2.1.4.1.3.11.02;0;9999;saldo;testSaldoFinalDePasepAPagarIgualAoSaldoLiquidadoAPagar
5.2.2.1.1.01;0;9999;saldo;testCreditoInicialContabilizado
5.2.2.1.2.01;0;9999;saldo;testCreditoSuplementarContabilizado
5.2.2.1.2.02;0;9999;saldo;testCreditoEspecialContabilizado
5.2.2.1.2.03;0;9999;saldo;testCreditoExtraordinarioContabilizado
5.2.2.1.2.02.02;0;9999;saldo;testCreditoReabertoContabilizado
5.2.2.1.2.03.02;0;9999;saldo;testCreditoReabertoContabilizado
5.2.2.1.3.06;0;9999;saldo;testCreditoReabertoContabilizado
5.2.2.1.9.04;0;9999;saldo;testAnulacaoDeDotacaoContabilizada
5.2.2.1.3.03;0;9999;saldo;testCreditoAdicionalAbertoPorReducao
5.2.2.1.9.04;0;9999;saldo;testCancelamentoDeDotacaoContabilizada
5.2.2.9.2.01;0;9999;saldo;testEmissaoDeNotasDeEmpenhosContabilizada
6.2.2.1.1;0;9999;saldo;testDotacaoDisponivelContabilizada
6.2.2.1.3.01;0;9999;saldo;testCreditoEmpenhadoALiquidarContabilizado
6.2.2.1.3.03;0;9999;saldo;testCreditoLiquidadoAPagarContabilizado
6.2.2.1.3.04;0;9999;saldo;testCreditoLiquidadoPagoContabilizado
6.2.2.9.2.01.01;0;9999;saldo;testEmpenhosALiquidarContabilizado
6.2.2.9.2.01.03;0;9999;saldo;testEmpenhoLiquidadoAPagarContabilizado
6.2.2.9.2.01.04;0;9999;saldo;testEmpenhosPagosContabilizado
8.2.1.1.1;0;9999;saldo;testRecursosDisponiveis
8.2.1.1.2;0;9999;saldo;testRecursosComprometidosPorEmpenhoALiquidar
8.2.1.1.3;0;9999;saldo;testRecursosComprometidosPorLiquidacaoEExtrasAPagar
8.5.3.1.0.01;0;9999;saldo;testValoresTransferidosPorContratoDeRateioUpaSantaRosa
8.5.3.1.0.02;0;9999;saldo;testValoresTransferidosPorContratoDeRateioSamuSantaRosa
8.5.3.1.0.03;0;9999;saldo;testValoresTransferidosPorContratoDeRateioMensalidadeCofron
2.1.1.4.2.01.02;0;9999;saldo;testSaldoFinalDeContribuicaoAoRppsIgualAoSaldoLiquidadoAPagar
2.1.1.4.3.01.01.02;0;9999;saldo;testSaldoFinalDeContribuicaoAoRgpsIgualAoSaldoLiquidadoAPagar
2.1.1.4.3.01.03.02;0;9999;saldo;testSaldoFinalDeContribuicaoAoRgpsIgualAoSaldoLiquidadoAPagar
2.1.1.4.3.05.02;0;9999;saldo;testSaldoFinalDeContribuicaoAoFgtsIgualAoSaldoLiquidadoAPagar
5.3.1.1;0;9999;saldo;testRestosAPagarNaoProcessadosInscritosNoExercicio
5.3.2.1;0;9999;saldo;testRestosAPagarProcessadosInscritosNoExercicio
5.3.1;0;9999;saldo;testRestosAPagarNaoProcessadosInscritos
5.3.2;0;9999;saldo;testRestosAPagarProcessadosInscritos
5.3.1.7;0;9999;saldo;testRestosAPagarNaoProcessadosInscricaoNoExercicioIgualAZero
5.3.2.7;0;9999;saldo;testRestosAPagarProcessadosInscricaoNoExercicioIgualAZero
5.3.1.7;0;9999;saldo;testRestosAPagarNaoProcessadosInscricaoNoExercicioIgualEmpenhadoNaoLiquidado
