conta_contabil;uniorcam;saldo_atual_debito;saldo_atual_credito;especificacao;escrituracao;data_inicial;data_final;data_geracao;conferencia_externa;conferencia_saldo;conferencia_nivel;conferencia_natureza
1.0.0.0.0.00.00.00.00.00.00.000;0201;54.171.831,81;0,00;ATIVO;N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.0.0.0.00.00.00.00.00.00.000;0201;35.543.511,32;0,00;"ATIVO CIRCULANTE";N;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.0.0.00.00.00.00.00.00.000;0201;4.679.630,28;0,00;"CAIXA E EQUIVALENTES DE CAIXA";N;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.0.00.00.00.00.00.00.000;0201;4.679.630,28;0,00;"CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL";N;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.00.00.00.00.00.00.000;0201;4.679.630,28;0,00;"CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL - CONSOLIDACAO";N;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.01.00.00.00.00.00.000;0201;1.485,37;0,00;CAIXA;S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.06.00.00.00.00.00.000;0201;0,00;0,00;"CONTA UNICA RPPS";N;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.06.01.00.00.00.00.000;0201;0,00;0,00;"BANCOS CONTA MOVIMENTO – RPPS";N;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.06.01.02.00.00.00.000;1201;0,00;0,00;"CEF GERAL FPSM MOV 0050 0521/006.295-1";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.06.01.05.00.00.00.000;1201;0,00;0,00;"BB GERAL FPSM MOV 0050 3732-X/11.698-X";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.00.00.00.00.00.000;0201;104.259,29;0,00;"BANCOS CONTA MOVIMENTO - DEMAIS CONTAS";N;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.00.00.00.00.000;0201;103.330,00;0,00;"BANCO DO BRASIL";N;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.01.00.00.00.000;0201;0,00;0,00;"BB GERAL PREF MOV 0001 3732-X/7.132-3";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.19.02.02.00.00.00.000;0201;0,00;0,00;"BB FPM PREF MOV 0001 3732-X/7.129-3";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
