conta_contabil;uniorcam_inicial;uniorcam_final;conferencia;regra
1.2.3;201;1199;externo;testImobilizadoTestadoManualmente
1.1.3.1.1.02;201;1199;externo;testSuprimentosDeFundosIndividualmenteTestadosManualmente
8.9.1.2.1;201;1199;externo;testSuprimentosDeFundosIndividualmenteTestadosManualmente
1.1.1;201;1199;externo;testDisponibilidadesTestadasManualmente
1.1.4;201;1199;externo;testDisponibilidadesTestadasManualmente
1.1.2.5;201;1199;externo;testDividaAtivaTestadaManualmente
1.1.2.6;201;1199;externo;testDividaAtivaTestadaManualmente
1.2.1.1.1.04;201;1199;externo;testDividaAtivaTestadaManualmente
1.2.1.1.1.05;201;1199;externo;testDividaAtivaTestadaManualmente
1.1.9.8.1.01;201;1199;externo;testTermosDeFomentoIndividualmenteTestadosManualmente
8.1.2.2;201;1199;externo;testTermosDeFomentoIndividualmenteTestadosManualmente
1.;201;1199;natureza;testFechamentoDosLancamentosNasContasPatrimoniais
2.;201;1199;natureza;testFechamentoDosLancamentosNasContasPatrimoniais
3.;201;1199;natureza;testFechamentoDosLancamentosNasContasPatrimoniais
4.;201;1199;natureza;testFechamentoDosLancamentosNasContasPatrimoniais
5.;201;1199;natureza;testFechamentoDosLancamentosNasContasOrcamentarias
6.;201;1199;natureza;testFechamentoDosLancamentosNasContasOrcamentarias
7.;201;1199;natureza;testFechamentoDosLancamentosNasContasDeControle
8.;201;1199;natureza;testFechamentoDosLancamentosNasContasDeControle
5.2.2.1;201;1199;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeDotacaoOrcamentaria
6.2.2.1;201;1199;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeDotacaoOrcamentaria
5.2.2.9;201;1199;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeOutrosControlesDaDespesa
6.2.2.9;201;1199;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeOutrosControlesDaDespesa
5.3.1;201;1199;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeRestosAPagarNaoProcessados
6.3.1;201;1199;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeRestosAPagarNaoProcessados
5.3.2;201;1199;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeRestosAPagarProcessados
6.3.2;201;1199;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeRestosAPagarProcessados
7.1.1.3.1.03;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeContratosDeAlugueis
8.1.1.3.1.03;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeContratosDeAlugueis
7.1.1.9.1.04;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeBensDoImobilizadoCedidos
8.1.1.9.1.04;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeBensDoImobilizadoCedidos
7.1.1.9.1.01;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDePlanoDeAmortizacaoDoDeficitAtuarial
8.1.1.9.1.01;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDePlanoDeAmortizacaoDoDeficitAtuarial
7.1.1.9.1.05;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeAtivosContingentes
8.1.1.9.1.05;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeAtivosContingentes
7.1.2.2.1.01;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeObrigacoesConveniadas
8.1.2.2.1.01;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeObrigacoesConveniadas
7.1.2.3.1.02;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeObrigacoesDeContratosDeServicos
8.1.2.3.1.02;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeObrigacoesDeContratosDeServicos
7.1.2.3.1.01;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeObrigacoesDeContratosDeSeguros
8.1.2.3.1.01;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeObrigacoesDeContratosDeSeguros
7.1.2.3.1.04;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeObrigacoesDeContratosDeFornecimentoDeBens
8.1.2.3.1.04;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeObrigacoesDeContratosDeFornecimentoDeBens
7.1.2.3.1.99;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeOutrasObrigacoesContratuais
8.1.2.3.1.99;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeOutrasObrigacoesContratuais
7.1.2.9.1.01;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDePrecatoriosIncluidosNoOrcamento
8.1.2.9.1.01;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDePrecatoriosIncluidosNoOrcamento
7.1.2.9.1.02;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDePrecatoriosNaoIncluidosNoOrcamento
8.1.2.9.1.02;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDePrecatoriosNaoIncluidosNoOrcamento
7.2.1.1;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeDisponibilidades
8.2.1.1;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeDisponibilidades
7.4.1.1.1;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDePassivosContingentesDeDemandasJudiciais
8.4.1.1.1;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDePassivosContingentesDeDemandasJudiciais
7.4.1.1.2;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDePassivosContingentesDeDividasEmReconhecimento
8.4.1.1.2;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDePassivosContingentesDeDividasEmReconhecimento
7.4.1.1.9;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeOutrosPassivosContingentes
8.4.1.1.9;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeOutrosPassivosContingentes
7.5.3.1;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeValoresTransferidosPorContratoDeRateio
8.5.3.1;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeValoresTransferidosPorContratoDeRateio
7.5.3.2;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeDespesasExecutadasEmConsorcio
8.5.3.2;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeDespesasExecutadasEmConsorcio
7.9.1.1.3;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeOutrasResponsabilidadesDeTerceiros
8.9.1.1.3;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeOutrasResponsabilidadesDeTerceiros
7.9.1.2.1;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeSuprimentoDeFundos
8.9.1.2.1;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeSuprimentoDeFundos
7.9.2.6;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDePagamentosSemRespaldoOrcamentario
8.9.2.6;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDePagamentosSemRespaldoOrcamentario
7.9.2.9;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeResponsaveisPorDanosAoPatrimonio
8.9.2.9;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeResponsaveisPorDanosAoPatrimonio
7.9.9.9.1;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeDespesaSemEmpenhoPrevio
8.9.9.9.1;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeDespesaSemEmpenhoPrevio
7.9.9.9.2;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeSuperavitFinanceiroDisponivel
8.9.9.9.2;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeSuperavitFinanceiroDisponivel
7.9.9.9.4;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeLimiteDeSuplementacao
8.9.9.9.4;201;1199;nivel;testFechamentoDosNiveisDasContasDeControleDeLimiteDeSuplementacao
1.1.3.1.1.01.01;201;1199;saldo;testSaldoFinalDeAdiantamentosDeSalarioIgualAZero
1.1.3.1.1.01.04;201;1199;saldo;testSaldoFinalDeAdiantamentosDeFeriasIgualAZero
1.1.3.1.1.01.99;201;1199;saldo;testSaldoFinalDeOutrosAdiantamentosIgualAZero
1.1.3.1.1.02;201;1199;saldo;testSaldoFinalDeSuprimentosDeFundosDoAtivoIgualAosControlesAComprovarEAAprovar
8.9.1.2.1.01;201;1199;saldo;testSaldoFinalDeSuprimentosDeFundosDoAtivoIgualAosControlesAComprovarEAAprovar
8.9.1.2.1.02;201;1199;saldo;testSaldoFinalDeSuprimentosDeFundosDoAtivoIgualAosControlesAComprovarEAAprovar
1.1.9.8.1.01;201;1199;saldo;testSaldoFinalDeParceriasAApropriarDoAtivoIgualAosControlesAComprovarEAAprovar
8.1.22.1.01.02;201;1199;saldo;testSaldoFinalDeParceriasAApropriarDoAtivoIgualAosControlesAComprovarEAAprovar
8.1.2.2.1.01.03;201;1199;saldo;testSaldoFinalDeParceriasAApropriarDoAtivoIgualAosControlesAComprovarEAAprovar
2.1.1.1.1.01.01.02;201;1199;saldo;testSaldoFinalDeSalariosAPagarIgualAoSaldoLiquidadoAPagar
2.1.1.1.1.01.03.02;201;1199;saldo;testSaldoFinalDeFeriasAPagarIgualAoSaldoLiquidadoAPagar
2.1.4.1.3.11.02;201;1199;saldo;testSaldoFinalDePasepAPagarIgualAoSaldoLiquidadoAPagar
5.2.2.1.1.01;201;1199;saldo;testCreditoInicialContabilizado
5.2.2.1.2.01;201;1199;saldo;testCreditoSuplementarContabilizado
5.2.2.1.2.02;201;1199;saldo;testCreditoEspecialContabilizado
5.2.2.1.2.03;201;1199;saldo;testCreditoExtraordinarioContabilizado
5.2.2.1.2.02.02;201;1199;saldo;testCreditoReabertoContabilizado
5.2.2.1.2.03.02;201;1199;saldo;testCreditoReabertoContabilizado
5.2.2.1.3.06;201;1199;saldo;testCreditoReabertoContabilizado
5.2.2.1.9.04;201;1199;saldo;testAnulacaoDeDotacaoContabilizada
5.2.2.1.9.04;201;1199;saldo;testCancelamentoDeDotacaoContabilizada
5.2.2.9.2.01;201;1199;saldo;testEmissaoDeNotasDeEmpenhosContabilizada
6.2.2.1.1;201;1199;saldo;testDotacaoDisponivelContabilizada
6.2.2.1.3.01;201;1199;saldo;testCreditoEmpenhadoALiquidarContabilizado
6.2.2.1.3.03;201;1199;saldo;testCreditoLiquidadoAPagarContabilizado
6.2.2.1.3.04;201;1199;saldo;testCreditoLiquidadoPagoContabilizado
6.2.2.9.2.01.01;201;1199;saldo;testEmpenhosALiquidarContabilizado
6.2.2.9.2.01.03;201;1199;saldo;testEmpenhoLiquidadoAPagarContabilizado
6.2.2.9.2.01.04;201;1199;saldo;testEmpenhosPagosContabilizado
8.2.1.1.1;201;1199;saldo;testRecursosDisponiveis
8.2.1.1.2;201;1199;saldo;testRecursosComprometidosPorEmpenhoALiquidar
8.2.1.1.3;201;1199;saldo;testRecursosComprometidosPorLiquidacaoEExtrasAPagar
8.5.3.1.0.01;201;1199;saldo;testValoresTransferidosPorContratoDeRateioUpaSantaRosa
8.5.3.1.0.02;201;1199;saldo;testValoresTransferidosPorContratoDeRateioSamuSantaRosa
8.5.3.1.0.03;201;1199;saldo;testValoresTransferidosPorContratoDeRateioMensalidadeCofron
2.1.1.4.2.01.02;201;1199;saldo;testSaldoFinalDeContribuicaoAoRppsIgualAoSaldoLiquidadoAPagar
2.1.1.4.3.01.01.02;201;1199;saldo;testSaldoFinalDeContribuicaoAoRgpsIgualAoSaldoLiquidadoAPagar
2.1.1.4.3.01.03.02;201;1199;saldo;testSaldoFinalDeContribuicaoAoRgpsIgualAoSaldoLiquidadoAPagar
2.1.1.4.3.05.02;201;1199;saldo;testSaldoFinalDeContribuicaoAoFgtsIgualAoSaldoLiquidadoAPagar
5.3.1.1;201;1199;saldo;testRestosAPagarNaoProcessadosInscritosNoExercicio
5.3.2.1;201;1199;saldo;testRestosAPagarProcessadosInscritosNoExercicio
5.3.1;201;1199;saldo;testRestosAPagarNaoProcessadosInscritos
5.3.2;201;1199;saldo;testRestosAPagarProcessadosInscritos
5.3.1.7;201;1199;saldo;testRestosAPagarNaoProcessadosInscricaoNoExercicioIgualAZero
5.3.2.7;201;1199;saldo;testRestosAPagarProcessadosInscricaoNoExercicioIgualAZero
5.3.1.7;201;1199;saldo;testRestosAPagarNaoProcessadosInscricaoNoExercicioIgualEmpenhadoNaoLiquidado
5.3.2.7;201;1199;saldo;testRestosAPagarProcessadosInscricaoNoExercicioIgualLiquidadoNaoPago
6.3.1.1;201;1199;saldo;testRestosAPagarNaoProcessadosALiquidar
6.3.1.3;201;1199;saldo;testRestosAPagarNaoProcessadosAPagar
6.3.1.4;201;1199;saldo;testRestosAPagarNaoProcessadosPagos
6.3.1.7.1;201;1199;saldo;testRestosAPagarNaoProcessadosALiquidarInscricaoNoExercicioIgualAZero
6.3.1.7.1;201;1199;saldo;testRestosAPagarNaoProcessadosALiquidarInscricaoNoExercicioIgualEmpenhadoNaoLiquidado
6.3.1.9;201;1199;saldo;testRestosAPagarNaoProcessadosCancelados
6.3.2.1;201;1199;saldo;testRestosAPagarProcessadosAPagar
6.3.2.2;201;1199;saldo;testRestosAPagarProcessadosPagos
6.3.2.9;201;1199;saldo;testRestosAPagarProcessadosCancelados
6.3.2.7;201;1199;saldo;testRestosAPagarProcessadosALiquidarInscricaoNoExercicioIgualAZero
6.3.2.7;201;1199;saldo;testRestosAPagarProcessadosALiquidarInscricaoNoExercicioIgualEmpenhadoNaoLiquidado
5.2.1.1.1;201;1199;saldo;testPrevisaoInicialDaReceitaBrutaContabilizada
5.2.1.1.2.01.01;201;1199;saldo;testPrevisaoDasDeducoesDaReceitaParaFundebContabilizada
5.2.1.1.2.99;201;1199;saldo;testPrevisaoDasOutrasDeducoesDaReceitaContabilizada
5.2.1.2.1.01;201;1199;saldo;testReestimativaDaReceitaContabilizada
5.2.2.1.3.02;201;1199;saldo;testCreditoAbertoPorExcessoDeArrecadacao
6.2.1.1;201;1199;saldo;testSaldoDaReceitaARealizar
6.2.1.2;201;1199;saldo;testReceitaBrutaArrecadadaContabilizada
6.2.1.3.1.01;201;1199;saldo;testDeducaoDaReceitaParaOFundebArrecadadaContabilizada
6.2.1.3.2;201;1199;saldo;testDeducaoDaReceitaPorRenunciaArrecadadaContabilizada
6.2.1.3.9;201;1199;saldo;testOutrasDeducaoDaReceitaArrecadadaContabilizada
5.2.1;201;1199;saldo;testFechamentoDosNiveisDasContasOrcamentariasDeReceita
6.2.1;201;1199;saldo;testFechamentoDosNiveisDasContasOrcamentariasDeReceita
1.1.2.3.3.01.02;201;1199;saldo;testSaldoFinalDoFpmAReceberIgualAZero
2.1.5.0.4.01.01.01;201;1199;saldo;testSaldoFinalDoFundebAReterIgualAZero
2.1.1.1.1.05;201;1199;saldo;testSaldoFinalDePrecatoriosAPagarNoCurtoPrazoIgualAosControlesDePrecatoriosIncluidosEmLoa
2.1.3.1.1.08;201;1199;saldo;testSaldoFinalDePrecatoriosAPagarNoCurtoPrazoIgualAosControlesDePrecatoriosIncluidosEmLoa
8.1.2.9.1.01;201;1199;saldo;testSaldoFinalDePrecatoriosAPagarNoCurtoPrazoIgualAosControlesDePrecatoriosIncluidosEmLoa
2.2.1.1.1.04;201;1199;saldo;testSaldoFinalDePrecatoriosAPagarNoLongoPrazoIgualAosControlesDePrecatoriosNaoIncluidosEmLoa
