conta_contabil;uniorcam_inicial;uniorcam_final;conferencia;regra
1.2.3;1201;1299;externo;testImobilizadoTestadoManualmente
1.1.3.1.1.02;1201;1299;externo;testSuprimentosDeFundosIndividualmenteTestadosManualmente
8.9.1.2.1;1201;1299;externo;testSuprimentosDeFundosIndividualmenteTestadosManualmente
1.1.1;1201;1299;externo;testDisponibilidadesTestadasManualmente
1.1.4;1201;1299;externo;testDisponibilidadesTestadasManualmente
1.;1201;1299;natureza;testFechamentoDosLancamentosNasContasPatrimoniais
2.;1201;1299;natureza;testFechamentoDosLancamentosNasContasPatrimoniais
3.;1201;1299;natureza;testFechamentoDosLancamentosNasContasPatrimoniais
4.;1201;1299;natureza;testFechamentoDosLancamentosNasContasPatrimoniais
5.;1201;1299;natureza;testFechamentoDosLancamentosNasContasOrcamentarias
6.;1201;1299;natureza;testFechamentoDosLancamentosNasContasOrcamentarias
7.;1201;1299;natureza;testFechamentoDosLancamentosNasContasDeControle
8.;1201;1299;natureza;testFechamentoDosLancamentosNasContasDeControle
5.2.2.1;1201;1299;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeDotacaoOrcamentaria
6.2.2.1;1201;1299;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeDotacaoOrcamentaria
5.2.2.9;1201;1299;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeOutrosControlesDaDespesa
6.2.2.9;1201;1299;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeOutrosControlesDaDespesa
5.3.1;1201;1299;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeRestosAPagarNaoProcessados
6.3.1;1201;1299;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeRestosAPagarNaoProcessados
5.3.2;1201;1299;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeRestosAPagarProcessados
6.3.2;1201;1299;nivel;testFechamentoDosNiveisDasContasOrcamentariasDeRestosAPagarProcessados
7.1.1.3.1.03;1201;1299;nivel;testFechamentoDosNiveisDasContasDeControleDeContratosDeAlugueis
8.1.1.3.1.03;1201;1299;nivel;testFechamentoDosNiveisDasContasDeControleDeContratosDeAlugueis
7.1.1.9.1.04;1201;1299;nivel;testFechamentoDosNiveisDasContasDeControleDeBensDoImobilizadoCedidos
8.1.1.9.1.04;1201;1299;nivel;testFechamentoDosNiveisDasContasDeControleDeBensDoImobilizadoCedidos
7.1.1.9.1.01;1201;1299;nivel;testFechamentoDosNiveisDasContasDeControleDePlanoDeAmortizacaoDoDeficitAtuarial
8.1.1.9.1.01;1201;1299;nivel;testFechamentoDosNiveisDasContasDeControleDePlanoDeAmortizacaoDoDeficitAtuarial
7.1.1.9.1.05;1201;1299;nivel;testFechamentoDosNiveisDasContasDeControleDeAtivosContingentes
8.1.1.9.1.05;1201;1299;nivel;testFechamentoDosNiveisDasContasDeControleDeAtivosContingentes
7.1.2.2.1.01;1201;1299;nivel;testFechamentoDosNiveisDasContasDeControleDeObrigacoesConveniadas
