conta_contabil;uniorcam;saldo_atual_debito;saldo_atual_credito;especificacao;escrituracao;data_inicial;data_final;data_geracao;conferencia_externa;conferencia_saldo;conferencia_nivel;conferencia_natureza
1.1.1.1.1.06.01.02.00.00.00.000;1201;0,00;0,00;"CEF GERAL FPSM MOV 0050 0521/006.295-1";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.1.1.1.06.01.05.00.00.00.000;1201;0,00;0,00;"BB GERAL FPSM MOV 0050 3732-X/11.698-X";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.2.1.2.71.01.00.00.00.00.000;1201;0,00;0,00;"PARCELAMENTO LEI1623/2005 360 PARCELAS CURTO PRAZO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.3.6.2.01.01.01.00.00.00.000;1201;90.945,78;0,00;"CONTRIBUICAO PATRONAL PARA O RPPS - ALIQUOTA NORMAL";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.3.6.2.01.01.02.00.00.00.000;1201;112.602,35;0,00;"CONTRIBUICAO PATRONLA - ALIQUOTA SUPLEMENTAR";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.3.6.2.01.02.00.00.00.00.000;1201;79.577,60;0,00;"CONTRIBUICOES DO RPPS A RECEBER – SERVIDOR, APOSENTADO E PENSIONISTA";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.4.1.1.09.06.08.00.00.00.000;1201;2.517.151,50;0,00;"CEF CAIXA FI BRASIL 2024 III TP RF FPSM APLIC0050 0521/006.295-1";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.4.1.1.09.06.12.00.00.00.000;1201;2.487.208,10;0,00;"BB PREVID RF IMA-B TIT PUBL FPSM APLIC 0050 3732-X/11.698-X";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.4.1.1.09.06.13.00.00.00.000;1201;4.443.674,79;0,00;"BB PREV RF IRF-M1 TP FPSM APLIC 0050 3732-X/11.698-X";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.4.1.1.09.06.14.00.00.00.000;1201;4.415.839,77;0,00;"CEF CAIXA FI BRASIL IDKA IPCA 2A TP RF LP FPSM 0050 0521/006/00000295-1";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.4.1.1.09.06.15.00.00.00.000;1201;3.925.247,88;0,00;"SICREDI  FI INSTITUCIONAL RF IRF-M LP FPSM 0050 0306/11.359-8";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.4.1.1.09.06.16.00.00.00.000;1201;1.025.782,64;0,00;"SICREDI FI INSTITUCIONAL RF IMA-B FPSM 0050 0306/11.359-8";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.4.1.1.09.06.17.00.00.00.000;1201;4.416.651,93;0,00;"BB PREV RF ALOCACAO ATIVA 3732-X/11.698-X";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.4.1.1.09.06.18.00.00.00.000;1201;2.070.264,39;0,00;"BB PREVIDENCIARIO RF IRF-M 1+ FPSM 0050 3732-X/11.698-X";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.1.4.1.1.09.06.19.00.00.00.000;1201;1.185.661,70;0,00;"BB PREVID. RF IMA-B 5 LP FPSM 0050 3732-X/11.698-X";S;2021-01-01;2021-03-31;2021-04-22;testDisponibilidadesTestadasManualmente;;;testFechamentoDosLancamentosNasContasPatrimoniais
1.2.1.1.2.06.04.01.00.00.00.000;1201;1.979.324,38;0,00;"PARCELAMENTO LEI1623/2005 360 PARCELAS LONGO PRAZO";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
2.1.1.1.1.01.02.01.00.00.00.000;1201;0,00;40.009,72;"DECIMO TERCEIRO SALARIO (P)";S;2021-01-01;2021-03-31;2021-04-22;;;;testFechamentoDosLancamentosNasContasPatrimoniais
